ID_venta,Sucursal,Fecha,ID_producto,Nombre_producto,Categoría_producto,Precio_unitario,Cantidad_vendida,Monto_total,ID_empleado,Nombre_empleado,Evaluación_atención,Descuento,Ubicación_cliente,Ciudad,Método_pago,Hora_venta
V2044,Sucursal 2,2023-03-22,7,Pantalones,Electronica,25.0,9,210.0,E5,Lucia Martinez,2,10,Zona 3,Loja,PayPal,Mañana
V2045,Sucursal 2,2023-03-14,2,Zapatos deportivos,Calzado,30.0,10,600.0,E2,Lucia Martinez,2,10,Zona 2,Loja,Tarjeta de credito,Tarde
V2046,Sucursal 2,2023-02-21,4,Pantalones,Accesorios,300.0,1,80.0,E3,Pedro Gomez,2,15,Zona 1,Guayaquil,Transferencia,Noche
V2047,Sucursal 2,2023-03-07,6,Bicicleta,Electronica,30.0,2,1250.0,E4,Pedro Gomez,2,15,Zona 2,Cuenca,PayPal,Tarde
V2048,Sucursal 2,2023-04-01,8,Smartphone,Accesorios,30.0,3,50.0,E3,Jose Lopez,2,5,Zona 2,Quito,Transferencia,Tarde
V2049,Sucursal 2,2023-03-08,4,Auriculares Bluetooth,Ropa,250.0,4,50.0,E2,Pedro Gomez,1,5,Zona 1,Ambato,Transferencia,Tarde
V2050,Sucursal 2,2023-02-08,1,Pantalones,Electronica,500.0,1,240.0,E1,Ana Garcia,2,10,Zona 2,Quito,Efectivo,Noche
V2051,Sucursal 2,2023-03-02,9,Smartphone,Ropa,80.0,3,750.0,E5,Lucia Martinez,4,20,Zona 1,Guayaquil,Efectivo,Mañana
V2052,Sucursal 2,2023-01-12,6,Cargador inalambrico,Ropa,150.0,1,40.0,E1,Carlos Perez,5,15,Zona 2,Cuenca,Transferencia,Noche
V2053,Sucursal 2,2023-02-06,1,Pantalones,Electronica,40.0,4,180.0,E5,Carlos Perez,4,0,Zona 1,Loja,PayPal,Tarde
V2054,Sucursal 2,2023-01-21,2,Pantalones,Electronica,,2,,E3,Carlos Perez,1,20,Zona 3,Cuenca,Tarjeta de debito,Mañana
V2055,Sucursal 2,2023-03-07,10,Bicicleta,Electronica,150.0,9,2700.0,E5,Lucia Martinez,1,5,Zona 3,Loja,Efectivo,Tarde
V2056,Sucursal 2,2023-02-23,5,Auriculares Bluetooth,Accesorios,120.0,5,400.0,E5,Pedro Gomez,4,0,Zona 3,Ambato,PayPal,Mañana
V2057,Sucursal 2,2023-03-02,3,Tablet,Ropa,60.0,10,600.0,E4,Ana Garcia,5,20,Zona 1,Quito,Tarjeta de credito,Mañana
V2058,Sucursal 2,2023-03-22,3,Pantalones,Accesorios,60.0,9,2500.0,E4,Carlos Perez,2,10,Zona 2,Ambato,Transferencia,Tarde
V2059,Sucursal 2,2023-02-13,3,Reloj,Electronica,80.0,3,600.0,E1,Ana Garcia,5,15,Zona 1,Guayaquil,Efectivo,Tarde
V2060,Sucursal 2,2023-03-04,3,Tablet,Ropa,60.0,1,1250.0,E3,Pedro Gomez,3,10,Zona 2,Guayaquil,Tarjeta de debito,Tarde
V2061,Sucursal 2,2023-01-25,3,Zapatos deportivos,Ropa,,9,,E1,Ana Garcia,2,15,Zona 2,Quito,Tarjeta de debito,Tarde
V2062,Sucursal 2,2023-01-09,6,Smartphone,Accesorios,30.0,2,25.0,E4,Lucia Martinez,3,0,Zona 1,Cuenca,Tarjeta de credito,Tarde
V2063,Sucursal 2,2023-03-20,4,Zapatos deportivos,Ropa,120.0,3,1200.0,E4,Lucia Martinez,3,5,Zona 3,Guayaquil,Transferencia,Mañana
V2064,Sucursal 2,2023-01-31,6,Pantalones,Ropa,80.0,2,300.0,E1,Ana Garcia,4,15,Zona 3,Loja,Tarjeta de debito,Tarde
V2065,Sucursal 2,2023-03-26,2,Reloj,Ropa,80.0,3,1200.0,E2,Carlos Perez,1,5,Zona 2,Cuenca,Tarjeta de debito,Mañana
V2066,Sucursal 2,2023-02-07,5,Camiseta,Electronica,30.0,4,2250.0,E3,Lucia Martinez,5,15,Zona 2,Quito,PayPal,Mañana
V2067,Sucursal 2,2023-03-27,8,Camiseta,Electronica,25.0,6,160.0,E2,Carlos Perez,3,5,Zona 3,Loja,Efectivo,Mañana
V2068,Sucursal 2,2023-03-21,8,Auriculares Bluetooth,Ropa,25.0,10,3500.0,E2,Jose Lopez,3,15,Zona 1,Quito,Efectivo,Noche
V2069,Sucursal 2,2023-03-19,3,Bicicleta,Electronica,120.0,10,125.0,E1,Carlos Perez,4,5,Zona 3,Guayaquil,Efectivo,Mañana
V2070,Sucursal 2,2023-01-13,7,Tablet,Ropa,30.0,8,3000.0,E3,Ana Garcia,3,0,Zona 1,Cuenca,Tarjeta de credito,Tarde
V2071,Sucursal 2,2023-03-26,9,Zapatos deportivos,Electronica,500.0,7,840.0,E2,Pedro Gomez,1,10,Zona 3,Quito,PayPal,Noche
V2072,Sucursal 2,2023-01-11,3,Cargador inalambrico,Calzado,25.0,3,240.0,E1,Lucia Martinez,1,20,Zona 1,Guayaquil,Transferencia,Noche
V2073,Sucursal 2,2023-01-18,4,Smartphone,Electronica,40.0,1,1800.0,E4,Carlos Perez,5,20,Zona 3,Quito,Transferencia,Tarde
V2074,Sucursal 2,2023-01-09,5,Smartphone,Calzado,150.0,1,250.0,E2,Carlos Perez,3,20,Zona 1,Ambato,Transferencia,Tarde
V2075,Sucursal 2,2023-03-18,5,Smartphone,Accesorios,,2,,E3,Pedro Gomez,4,5,Zona 3,Quito,Transferencia,Tarde
V2076,Sucursal 2,2023-02-24,4,Tablet,Electronica,30.0,3,540.0,E2,Lucia Martinez,2,0,Zona 3,Cuenca,Tarjeta de credito,Tarde
V2077,Sucursal 2,2023-02-07,1,Zapatos deportivos,Ropa,120.0,6,2400.0,E1,Carlos Perez,4,20,Zona 2,Ambato,Tarjeta de credito,Tarde
V2078,Sucursal 2,2023-03-21,10,Auriculares Bluetooth,Accesorios,500.0,1,360.0,E1,Carlos Perez,5,15,Zona 1,Guayaquil,Transferencia,Mañana
V2079,Sucursal 2,2023-01-24,8,Pantalones,Ropa,80.0,9,400.0,E3,Pedro Gomez,1,5,Zona 2,Quito,Tarjeta de debito,Tarde
V2080,Sucursal 2,2023-03-03,6,Zapatos deportivos,Accesorios,40.0,1,3000.0,E3,Carlos Perez,5,5,Zona 3,Quito,Tarjeta de debito,Mañana
V2081,Sucursal 2,2023-01-18,3,Zapatos deportivos,Electronica,40.0,8,1200.0,E3,Ana Garcia,4,5,Zona 1,Guayaquil,Tarjeta de debito,Tarde
V2082,Sucursal 2,2023-02-08,9,Camiseta,Electronica,120.0,7,60.0,E1,Jose Lopez,2,10,Zona 1,Ambato,Tarjeta de credito,Tarde
V2083,Sucursal 2,2023-02-25,6,Auriculares Bluetooth,Electronica,250.0,2,120.0,E2,Lucia Martinez,3,10,Zona 1,Cuenca,Transferencia,Noche
V2084,Sucursal 2,2023-01-18,1,Smartphone,Electronica,120.0,5,420.0,E3,Carlos Perez,1,10,Zona 1,Ambato,Tarjeta de credito,Noche
V2085,Sucursal 2,2023-02-25,5,Bicicleta,Calzado,60.0,6,150.0,E3,Pedro Gomez,3,20,Zona 1,Ambato,Transferencia,Tarde
V2086,Sucursal 2,2023-01-05,7,Zapatos deportivos,Electronica,300.0,6,120.0,E5,Lucia Martinez,2,5,Zona 1,Ambato,Tarjeta de debito,Mañana
V2087,Sucursal 2,2023-03-14,4,Bicicleta,Electronica,60.0,4,900.0,E3,Jose Lopez,5,10,Zona 2,Cuenca,PayPal,Noche
V2088,Sucursal 2,2023-03-17,3,Auriculares Bluetooth,Ropa,250.0,6,450.0,E1,Lucia Martinez,3,0,Zona 1,Loja,Tarjeta de credito,Mañana
V2089,Sucursal 2,2023-01-24,8,Bicicleta,Accesorios,80.0,8,80.0,E3,Ana Garcia,4,15,Zona 1,Guayaquil,Tarjeta de credito,Tarde
V2090,Sucursal 2,2023-01-28,9,Camiseta,Electronica,120.0,9,1250.0,E5,Lucia Martinez,2,15,Zona 3,Quito,Tarjeta de credito,Noche
V2091,Sucursal 2,2023-01-16,7,Cargador inalambrico,Accesorios,60.0,8,1350.0,E4,Ana Garcia,3,10,Zona 2,Guayaquil,PayPal,Noche
V2092,Sucursal 2,2023-02-25,1,Camiseta,Electronica,60.0,6,1750.0,E3,Ana Garcia,2,15,Zona 1,Ambato,Efectivo,Mañana
V2093,Sucursal 2,2023-02-28,4,Cargador inalambrico,Electronica,300.0,8,500.0,E4,Lucia Martinez,3,20,Zona 2,Guayaquil,PayPal,Tarde
V2094,Sucursal 2,2023-03-07,7,Tablet,Ropa,150.0,1,120.0,E3,Jose Lopez,5,0,Zona 2,Quito,Tarjeta de debito,Tarde
V2095,Sucursal 2,2023-03-08,9,Reloj,Electronica,25.0,7,560.0,E1,Carlos Perez,3,10,Zona 2,Cuenca,Efectivo,Mañana
V2096,Sucursal 2,2023-01-15,3,Camiseta,Electronica,25.0,7,480.0,E4,Lucia Martinez,3,5,Zona 3,Cuenca,PayPal,Mañana
V2097,Sucursal 2,2023-02-06,2,Pantalones,Electronica,250.0,9,2000.0,E1,Carlos Perez,5,15,Zona 2,Quito,Tarjeta de credito,Noche
V2098,Sucursal 2,2023-03-29,5,Zapatos deportivos,Accesorios,300.0,5,420.0,E1,Ana Garcia,2,10,Zona 1,Guayaquil,Tarjeta de debito,Noche
V2099,Sucursal 2,2023-01-26,2,Bicicleta,Electronica,40.0,1,120.0,E4,Pedro Gomez,3,0,Zona 3,Ambato,Tarjeta de debito,Mañana
V2100,Sucursal 2,2023-03-08,3,Bicicleta,Accesorios,25.0,7,4000.0,E3,Lucia Martinez,4,0,Zona 3,Guayaquil,Efectivo,Tarde
V2101,Sucursal 2,2023-03-23,10,Tablet,Accesorios,,10,,E3,Ana Garcia,4,5,Zona 3,Loja,Transferencia,Tarde
V2102,Sucursal 2,2023-03-12,3,Smartphone,Ropa,60.0,8,840.0,E5,Jose Lopez,3,0,Zona 3,Loja,PayPal,Mañana
V2103,Sucursal 2,2023-01-18,9,Chaqueta de cuero,Ropa,500.0,9,80.0,E2,Jose Lopez,4,0,Zona 3,Guayaquil,Tarjeta de credito,Mañana
V2104,Sucursal 2,2023-03-19,8,Zapatos deportivos,Electronica,300.0,6,200.0,E2,Jose Lopez,2,15,Zona 2,Ambato,Efectivo,Mañana
V2105,Sucursal 2,2023-03-16,9,Camiseta,Ropa,25.0,5,1800.0,E3,Carlos Perez,3,20,Zona 3,Ambato,Transferencia,Tarde
V2106,Sucursal 2,2023-01-25,1,Reloj,Ropa,30.0,2,30.0,E2,Jose Lopez,5,5,Zona 1,Cuenca,Transferencia,Noche
V2107,Sucursal 2,2023-02-24,10,Auriculares Bluetooth,Calzado,500.0,8,3500.0,E5,Lucia Martinez,3,10,Zona 1,Quito,Transferencia,Noche
V2108,Sucursal 2,2023-03-08,3,Chaqueta de cuero,Electronica,80.0,6,800.0,E2,Carlos Perez,1,20,Zona 3,Guayaquil,Tarjeta de debito,Noche
V2109,Sucursal 2,2023-01-24,1,Auriculares Bluetooth,Ropa,150.0,3,200.0,E5,Carlos Perez,2,5,Zona 1,Loja,Tarjeta de credito,Mañana
V2110,Sucursal 2,2023-02-16,3,Chaqueta de cuero,Electronica,25.0,1,560.0,E4,Pedro Gomez,1,15,Zona 2,Ambato,Tarjeta de credito,Mañana
V2111,Sucursal 2,2023-03-12,6,Reloj,Accesorios,80.0,8,1000.0,E3,Pedro Gomez,4,0,Zona 3,Ambato,Transferencia,Tarde
V2112,Sucursal 2,2023-02-07,7,Pantalones,Electronica,120.0,8,80.0,E1,Jose Lopez,3,20,Zona 3,Quito,PayPal,Noche
V2113,Sucursal 2,2023-02-08,3,Smartphone,Electronica,300.0,2,360.0,E3,Carlos Perez,1,5,Zona 2,Quito,Tarjeta de debito,Noche
V2114,Sucursal 2,2023-02-19,8,Camiseta,Ropa,80.0,4,960.0,E4,Jose Lopez,1,20,Zona 2,Loja,PayPal,Noche
V2115,Sucursal 2,2023-01-02,4,Tablet,Ropa,40.0,4,2400.0,E1,Carlos Perez,2,0,Zona 3,Quito,Transferencia,Mañana
V2116,Sucursal 2,2023-03-17,8,Bicicleta,Ropa,80.0,8,2250.0,E1,Jose Lopez,5,5,Zona 2,Cuenca,Transferencia,Mañana
V2117,Sucursal 2,2023-03-28,5,Cargador inalambrico,Electronica,150.0,10,60.0,E3,Carlos Perez,5,0,Zona 3,Cuenca,Efectivo,Mañana
V2118,Sucursal 2,2023-03-26,2,Tablet,Electronica,40.0,1,175.0,E1,Jose Lopez,2,20,Zona 3,Quito,Tarjeta de debito,Mañana
V2119,Sucursal 2,2023-03-09,9,Tablet,Ropa,25.0,9,1000.0,E3,Pedro Gomez,4,20,Zona 3,Loja,PayPal,Noche
V2120,Sucursal 2,2023-03-27,6,Auriculares Bluetooth,Electronica,300.0,2,250.0,E3,Carlos Perez,5,5,Zona 3,Cuenca,Efectivo,Mañana
V2121,Sucursal 2,2023-03-11,8,Smartphone,Calzado,40.0,4,900.0,E4,Jose Lopez,2,10,Zona 1,Loja,Transferencia,Mañana
V2122,Sucursal 2,2023-02-18,8,Auriculares Bluetooth,Calzado,30.0,8,420.0,E4,Lucia Martinez,2,0,Zona 3,Ambato,Efectivo,Mañana
V2123,Sucursal 2,2023-03-05,5,Bicicleta,Ropa,60.0,9,360.0,E4,Carlos Perez,3,15,Zona 1,Loja,Efectivo,Tarde
V2124,Sucursal 2,2023-01-20,4,Bicicleta,Calzado,40.0,1,2400.0,E1,Ana Garcia,2,20,Zona 1,Ambato,PayPal,Mañana
V2125,Sucursal 2,2023-02-28,10,Auriculares Bluetooth,Ropa,30.0,3,1250.0,E1,Jose Lopez,4,15,Zona 3,Guayaquil,Tarjeta de credito,Tarde
V2126,Sucursal 2,2023-02-01,5,Pantalones,Electronica,30.0,9,150.0,E4,Jose Lopez,4,15,Zona 3,Guayaquil,Tarjeta de credito,Noche
V2127,Sucursal 2,2023-01-01,9,Zapatos deportivos,Ropa,25.0,2,100.0,E5,Carlos Perez,3,5,Zona 1,Guayaquil,Efectivo,Mañana
V2128,Sucursal 2,2023-03-28,6,Reloj,Ropa,25.0,5,1200.0,E5,Jose Lopez,2,20,Zona 2,Quito,PayPal,Noche
V2129,Sucursal 2,2023-02-03,6,Tablet,Calzado,,8,,E1,Pedro Gomez,3,15,Zona 2,Cuenca,PayPal,Mañana
V2130,Sucursal 2,2023-03-02,5,Cargador inalambrico,Accesorios,30.0,1,160.0,E3,Jose Lopez,1,5,Zona 3,Quito,PayPal,Tarde
V2131,Sucursal 2,2023-03-30,8,Auriculares Bluetooth,Electronica,150.0,5,3500.0,E5,Pedro Gomez,2,0,Zona 1,Loja,Tarjeta de credito,Tarde
V2132,Sucursal 2,2023-03-25,5,Tablet,Ropa,300.0,10,5000.0,E1,Lucia Martinez,2,0,Zona 2,Guayaquil,Tarjeta de debito,Noche
V2133,Sucursal 2,2023-01-16,5,Reloj,Electronica,30.0,9,60.0,E2,Carlos Perez,2,10,Zona 2,Quito,PayPal,Mañana
V2134,Sucursal 2,2023-01-04,8,Zapatos deportivos,Electronica,30.0,4,175.0,E4,Lucia Martinez,4,10,Zona 2,Quito,Efectivo,Tarde
V2135,Sucursal 2,2023-02-26,9,Reloj,Ropa,250.0,4,1800.0,E2,Carlos Perez,3,0,Zona 2,Cuenca,Efectivo,Noche
V2136,Sucursal 2,2023-01-10,2,Pantalones,Ropa,30.0,3,1500.0,E3,Carlos Perez,5,10,Zona 3,Loja,Efectivo,Tarde
V2137,Sucursal 2,2023-03-21,2,Zapatos deportivos,Electronica,30.0,4,300.0,E1,Jose Lopez,3,5,Zona 1,Loja,Tarjeta de credito,Noche
V2138,Sucursal 2,2023-01-21,5,Reloj,Ropa,250.0,1,3000.0,E3,Ana Garcia,1,0,Zona 1,Guayaquil,PayPal,Mañana
V2139,Sucursal 2,2023-02-18,1,Pantalones,Electronica,60.0,7,500.0,E2,Lucia Martinez,5,5,Zona 3,Cuenca,Transferencia,Tarde
V2140,Sucursal 2,2023-01-04,10,Pantalones,Accesorios,60.0,5,500.0,E3,Jose Lopez,3,0,Zona 2,Ambato,Efectivo,Mañana
V2141,Sucursal 2,2023-01-18,6,Pantalones,Electronica,30.0,10,60.0,E4,Jose Lopez,5,15,Zona 1,Cuenca,PayPal,Noche
V2142,Sucursal 2,2023-01-06,7,Zapatos deportivos,Ropa,500.0,8,270.0,E5,Pedro Gomez,2,15,Zona 3,Quito,Transferencia,Mañana
V2143,Sucursal 2,2023-01-20,5,Zapatos deportivos,Electronica,150.0,5,480.0,E1,Jose Lopez,3,5,Zona 2,Guayaquil,Tarjeta de debito,Noche
V2144,Sucursal 2,2023-03-09,4,Bicicleta,Ropa,250.0,3,100.0,E3,Pedro Gomez,3,5,Zona 3,Cuenca,Efectivo,Mañana
V2145,Sucursal 2,2023-03-08,5,Zapatos deportivos,Electronica,300.0,8,240.0,E2,Carlos Perez,4,5,Zona 3,Ambato,PayPal,Noche
V2146,Sucursal 2,2023-02-18,10,Reloj,Electronica,60.0,6,1200.0,E2,Carlos Perez,1,10,Zona 1,Quito,Tarjeta de debito,Tarde
V2147,Sucursal 2,2023-03-03,8,Bicicleta,Electronica,150.0,7,50.0,E5,Jose Lopez,3,20,Zona 3,Ambato,Efectivo,Noche
V2148,Sucursal 2,2023-03-20,5,Bicicleta,Accesorios,500.0,6,480.0,E1,Pedro Gomez,3,10,Zona 1,Guayaquil,Transferencia,Mañana
V2149,Sucursal 2,2023-03-13,6,Pantalones,Electronica,60.0,3,400.0,E2,Carlos Perez,2,0,Zona 2,Cuenca,Efectivo,Tarde
V2150,Sucursal 2,2023-03-03,10,Camiseta,Electronica,60.0,10,1500.0,E3,Ana Garcia,3,15,Zona 1,Quito,Tarjeta de debito,Noche
V2151,Sucursal 2,2023-03-02,6,Reloj,Ropa,150.0,2,600.0,E3,Jose Lopez,5,10,Zona 2,Ambato,Tarjeta de credito,Mañana
V2152,Sucursal 2,2023-03-05,7,Chaqueta de cuero,Calzado,150.0,4,75.0,E3,Ana Garcia,1,20,Zona 3,Loja,PayPal,Tarde
V2153,Sucursal 2,2023-01-05,3,Pantalones,Calzado,300.0,7,750.0,E3,Ana Garcia,4,5,Zona 3,Quito,Tarjeta de debito,Mañana
V2154,Sucursal 2,2023-01-19,8,Chaqueta de cuero,Electronica,25.0,10,5000.0,E3,Pedro Gomez,5,5,Zona 3,Guayaquil,Efectivo,Tarde
V2155,Sucursal 2,2023-03-25,1,Chaqueta de cuero,Ropa,500.0,9,90.0,E3,Jose Lopez,3,20,Zona 2,Ambato,Tarjeta de credito,Noche
V2156,Sucursal 2,2023-02-20,3,Auriculares Bluetooth,Electronica,60.0,9,200.0,E1,Ana Garcia,3,10,Zona 1,Cuenca,Tarjeta de credito,Tarde
V2157,Sucursal 2,2023-01-18,5,Bicicleta,Ropa,30.0,8,500.0,E5,Ana Garcia,4,15,Zona 3,Cuenca,Tarjeta de debito,Tarde
V2158,Sucursal 2,2023-02-04,3,Cargador inalambrico,Calzado,80.0,6,1500.0,E1,Jose Lopez,1,15,Zona 2,Cuenca,Efectivo,Mañana
V2159,Sucursal 2,2023-01-09,5,Reloj,Electronica,60.0,3,200.0,E4,Ana Garcia,5,5,Zona 2,Ambato,Tarjeta de credito,Tarde
V2160,Sucursal 2,2023-01-17,7,Pantalones,Electronica,80.0,3,360.0,E1,Carlos Perez,1,10,Zona 3,Guayaquil,Tarjeta de debito,Noche
V2161,Sucursal 2,2023-03-09,8,Zapatos deportivos,Ropa,120.0,6,150.0,E1,Pedro Gomez,5,5,Zona 3,Guayaquil,Transferencia,Mañana
V2162,Sucursal 2,2023-01-17,4,Pantalones,Electronica,300.0,1,1800.0,E3,Jose Lopez,4,15,Zona 1,Guayaquil,Tarjeta de debito,Mañana
V2163,Sucursal 2,2023-01-26,1,Smartphone,Ropa,40.0,8,2000.0,E5,Lucia Martinez,5,5,Zona 2,Ambato,Tarjeta de debito,Mañana
V2164,Sucursal 2,2023-04-01,1,Smartphone,Accesorios,60.0,6,2500.0,E2,Pedro Gomez,4,10,Zona 2,Loja,Efectivo,Mañana
V2165,Sucursal 2,2023-02-11,6,Tablet,Accesorios,500.0,8,240.0,E2,Jose Lopez,3,0,Zona 2,Loja,Tarjeta de debito,Tarde
